Title,Type,Source,Date,Author,Link,Award
"Native graduation: perseverance and accomplishment",Podcast,"Native America Calling",2023,,https://www.nativeamericacalling.com/,
"A passion for education",Feature,"ASU News",2023,"M. Terrill",https://news.asu.edu/,
"Native graduate earns five college degrees",Video,"Indian Country Today",2023,,https://indiancountrytoday.com/,
"This Arizona educator says teacher retention is as important as recruitment",Radio,"KJZZ (Phoenix NPR)",2023,"M. Brodie",https://kjzz.org/,
"Harvard University Grad Traces Educational Roots to Rio's Dual Enrollment Program",Profile,"Rio Salado College",2021,"M. Radovitch",https://blog.riosalado.edu/,
"From ASU to Harvard and back again, one alumnus shares his academic journey",Feature,"ASU News",2020,"C. Clements",https://news.asu.edu/,
"Educators Rising Looks to Fill the Teacher Shortage",Podcast,"The Teacher Education Podcast",2020,,,
"Students who want a head start may want to consider dual enrollment",News,"AZ Central",2019,"T. Gibson",https://www.azcentral.com/,
"Rio Salado College's 40th Anniversary Video",Video,"Rio Salado College",2018,,https://www.riosalado.edu/,
"Student Success Story: Lennon Audrain",Documentary,"Maricopa Community College Television",2018,"L. Acquafredda",,
"Lennon Audrain: Rising to New Heights",Video,"Rio Salado College",2018,,https://www.riosalado.edu/,
"A Heart for Teaching",Documentary,"CSPAN StudentCam Documentary",2017,"S. Taglienti",https://www.studentcam.org/,"🏆 Western Region 2nd Place - National Academy of Television Arts and Sciences"
"About Educators Rising",Video,"PBS Arizona",2017,,https://azpbs.org/,